Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,10001,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,36.1,,,35.5,36.7,21102,POINT (-73.9963485 40.74834109),10001,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10002,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,42.3,,,41.9,42.7,81410,POINT (-73.98624471 40.71580125),10002,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10003,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.0,,,34.4,35.5,56024,POINT (-73.98918087 40.73182933),10003,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10004,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.8,,,34.1,35.6,3089,POINT (-74.01913769 40.68877543),10004,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10005,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.3,,,34.1,36.9,7135,POINT (-74.00877004 40.7059772),10005,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10006,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.3,,,33.2,35.6,3011,POINT (-74.01295372 40.70961448),10006,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10007,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,36.8,,,35.9,38.0,6988,POINT (-74.0071045 40.71385547),10007,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10009,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.7,,,37.1,38.3,61347,POINT (-73.97872501 40.72641169),10009,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10010,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.9,,,34.3,35.5,31834,POINT (-73.98252602 40.73912332),10010,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10011,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.8,,,34.4,35.3,50984,POINT (-74.00036133 40.74179596),10011,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10012,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.9,,,34.4,35.5,24090,POINT (-73.99807845 40.7255807),10012,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10013,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,38.0,,,37.3,38.6,27700,POINT (-74.00481595 40.72009702),10013,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10014,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,33.6,,,33.1,34.2,31959,POINT (-74.00674779 40.73377169),10014,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10016,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.5,,,34.0,35.0,54183,POINT (-73.97834243 40.74522079),10016,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10017,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,33.7,,,33.0,34.4,16575,POINT (-73.96865875 40.75115842),10017,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10018,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,37.4,,,36.6,38.3,5229,POINT (-73.99273 40.75522024),10018,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10019,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.7,,,35.2,36.2,42870,POINT (-73.98684621 40.76573633),10019,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10021,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.3,,,31.7,33.0,43631,POINT (-73.95877104 40.76947562),10021,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10022,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,31.7,,,31.2,32.3,31924,POINT (-73.96798317 40.75861105),10022,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10023,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,33.2,,,32.8,33.6,60998,POINT (-73.98260652 40.77592132),10023,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10024,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,33.3,,,32.9,33.8,59283,POINT (-73.9744135 40.78527387),10024,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10025,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,36.0,,,35.6,36.4,94600,POINT (-73.96662227 40.79860116),10025,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10026,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,44.4,,,43.9,45.0,34003,POINT (-73.95252338 40.80233633),10026,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10027,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,42.3,,,41.9,42.7,59707,POINT (-73.95319776 40.81179561),10027,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10028,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.6,,,32.0,33.1,45141,POINT (-73.95351179 40.77644074),10028,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10029,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,42.5,,,42.1,42.8,76003,POINT (-73.9439743 40.79176875),10029,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10030,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,46.8,,,46.1,47.4,26999,POINT (-73.94285633 40.81826662),10030,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10031,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,42.1,,,41.6,42.6,56438,POINT (-73.95002428 40.82527946),10031,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10032,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,40.6,,,40.1,41.2,57331,POINT (-73.94281412 40.83879758),10032,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10033,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,38.5,,,37.9,39.0,53926,POINT (-73.93398733 40.85053549),10033,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,10034,BRFSS,Unhealthy Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,40.0,,,39.3,40.6,38908,POINT (-73.91971081 40.86631612),10034,UNHBEH,SLEEP,CrdPrv,Sleep <7 hours
